Group code,Class code,Class name,Echo class name,Whether or not detailed requirements are provided
0x00,0x01,Gas leak sensor,GasLeakSensor,○
0x00,0x02,Crime prevention sensor,CrimePreventionSensor,○
0x00,0x03,Emergency button,EmergencyButton,○
0x00,0x04,First-aid sensor,FirstAidSensor,○
0x00,0x05,Earthquake sensor,EarthquakeSensor,○
0x00,0x06,Electric leak sensor,ElectricLeakSensor,○
0x00,0x07,Human detection sensor,HumanDetectionSensor,○
0x00,0x08,Visitor sensor,VisitorSensor,○
0x00,0x09,Call sensor,CallSensor,○
0x00,0x0A,Condensation sensor,CondensationSensor,○
0x00,0x0B,Air pollution sensor,AirPollutionSensor,○
0x00,0x0C,Oxygen sensor,OxygenSensor,○
0x00,0x0D,Illuminance sensor,IlluminanceSensor,○
0x00,0x0E,Sound sensor,SoundSensor,○
0x00,0x0F,Mailing sensor,MailingSensor,○
0x00,0x10,Weight sensor,WeightSensor,○
0x00,0x11,Temperature sensor,TemperatureSensor,○
0x00,0x12,Humidity sensor,HumiditySensor,○
0x00,0x13,Rain sensor,RainSensor,○
0x00,0x14,Water level sensor,WaterLevelSensor,○
0x00,0x15,Bath water level sensor,BathWaterLevelSensor,○
0x00,0x16,Bath heating status sensor,BathHeatingStatusSensor,○
0x00,0x17,Water leak sensor,WaterLeakSensor,○
0x00,0x18,Water overflow sensor,WaterOverflowSensor,○
0x00,0x19,Fire sensor,FireSensor,○
0x00,0x1A,Cigarette smoke sensor,CigaretteSmokeSensor,○
0x00,0x1B,CO2 sensor,CO2Sensor,○
0x00,0x1C,Gas sensor,GasSensor,○
0x00,0x1D,VOC sensor,VOCSensor,○
0x00,0x1E,Differential pressure sensor,DifferentialPressureSensor,○
0x00,0x1F,Air speed sensor,AirSpeedSensor,○
0x00,0x20,Odor sensor,OdorSensor,○
0x00,0x21,Flame sensor,FlameSensor,○
0x00,0x22,Electric energy sensor,ElectricEnergySensor,○
0x00,0x23,Current value sensor,CurrentValueSensor,○
0x00,0x24,Daylight sensor,DaylightSensor,
0x00,0x25,Water flow rate sensor,WaterFlowRateSensor,○
0x00,0x26,Micromotion sensor,MicromotionSensor,○
0x00,0x27,Passage sensor,PassageSensor,○
0x00,0x28,Bed presence sensor,BedPresenceSensor,○
0x00,0x29,Open/close sensor,OpenCloseSensor,○
0x00,0x2A,Activity amount sensor,ActivityAmountSensor,○
0x00,0x2B,Human body location sensor,HumanBodyLocationSensor,○
0x00,0x2C,Snow sensor,SnowSensor,○
0x01,0x30,Home air conditioner,HomeAirConditioner,○
0x01,0x31,Cold blaster,ColdBlaster,
0x01,0x32,Electric fan,ElectricFan,
0x01,0x33,Ventilation fan,VentilationFan,○
0x01,0x34,Air conditioner ventilation fan,AirConditionerVentilationFan,○
0x01,0x35,Air cleaner,AirCleaner,○
0x01,0x36,Cold blast fan,ColdBlastFan,
0x01,0x37,Circulator,Circulator,
0x01,0x38,Dehumidifier,Dehumidifier,
0x01,0x39,Humidifier,Humidifier,○
0x01,0x3A,Ceiling fan,Ceiling fan,
0x01,0x3B,Electric Kotatsu,ElectricKotatsu,
0x01,0x3C,Electric heating pad,ElectricHeatingPad,
0x01,0x3D,Electric blanket,ElectricBlanket,
0x01,0x3E,Space heater,SpaceHeater,
0x01,0x3F,Panel heater,PanelHeater,
0x01,0x40,Electric carpet,ElectricCarpet,
0x01,0x41,Floor heater,FloorHeater,
0x01,0x42,Electric heater,ElectricHeater,○
0x01,0x43,Fan heater,FanHeater,○
0x01,0x44,Battery charger,BatteryCharger,
0x01,0x45,Package-type commercial air conditioner (indoor unit),PackageTypeCommercialAirConditionerIndoorUnit,○
0x01,0x46,Package-type commercial air conditioner (outdoor unit),PackageTypeCommercialAirConditionerOutdoorUnit,○
0x01,0x47,Package-type commercial air conditioner thermal storage unit,PackageTypeCommercialAirConditionerThermalStorageUnit,
0x01,0x48,Commercial fan coil unit,CommercialFanCoilUnit,
0x01,0x49,Commercial air conditioning cold source (chiller),CommercialAirConditioningColdSource,
0x01,0x50,Commercial air conditioning hot source (boiler),CommercialAirConditioningHotSource,
0x01,0x51,Air-conditioning VAV for commercial applications,AirConditioningVAVForCommercialApplications,
0x01,0x52,Air handling unit (air-conditioning) for commercial applications,AirHandlingUnitForCommercialApplications,
0x01,0x53,Unit-cooler,UnitCooler,
0x01,0x54,Condensing unit for commercial applications,CondensingUnitForCommercialApplications,
0x02,0x60,Electrically operated shade,ElectricallyOperatedShade,○
0x02,0x61,Electrically operated shutter,ElectricShutter,○
0x02,0x62,Electrically operated curtain,ElectricallyOperatedCurtain,
0x02,0x63,Electrically operated storm window,ElectricStormWindow,○
0x02,0x64,Electrically operated door,ElectricallyOperatedDoor,
0x02,0x65,Electrically operated skylight,ElectricallyOperatedSkylight,
0x02,0x66,Awning,Awning,
0x02,0x67,Garden sprinkler,Sprinkler,○
0x02,0x68,Fire sprinkler,FireSprinkler,
0x02,0x69,Fountain,Fountain,
0x02,0x6A,Instantaneous water heater,InstantaneousWaterHeater,
0x02,0x6B,Electric water heater,ElectricWaterHeater,○
0x02,0x6C,Solar water heater,SolarWaterHeater,
0x02,0x6D,Circulation pump,CirculationPump,
0x02,0x6E,Bidet-equipped toilet(with electrically warmed seat),ElectricToiletSeat,○
0x02,0x6F,Electric key,ElectricLock,○
0x02,0x70,Gas line valve,GasLineValve,
0x02,0x71,Home sauna,HomeSauna,
0x02,0x72,Hot water generator,InstantaneousWaterHeater,○
0x02,0x73,Bathroom dryer,BathroomHeaterAndDryer,○
